text,true_text,around_text,description_mistake,source,is_mistake,type_mistake,students_degree
"Создание  новой  версии  Личного  Кабинета  МИЭМ  НИУ  ВШЭ   с удобным  пользовательским  интерфейсом,  соответствующим  дизайн­коду МИЭМ НИУ ВШЭ, учитывающий все изменения в методологии ведения проектной деятельности.","Создание  новой  версии  Личного  Кабинета  МИЭМ  НИУ  ВШЭ   с удобным  пользовательским  интерфейсом,  соответствующим  дизайн­коду МИЭМ НИУ ВШЭ, учитывающим все изменения в методологии ведения проектной деятельности.","Создание  новой  версии  Личного  Кабинета  МИЭМ  НИУ  ВШЭ   с удобным  пользовательским  интерфейсом,  соответствующим  дизайн­коду МИЭМ НИУ ВШЭ, учитывающий все изменения в методологии ведения проектной деятельности.",нарушение в построении предложения с причастным оборотом,https://www.hse.ru/edu/vkr/922075150 ,1.0,грамматическая,бакалавриат
Новая версия Кабинета должна быть развёрнута на тестовом сервере и к ней должен быть предоставлен публичный доступ. ,"Новая версия Кабинета должна быть развёрнута на тестовом сервере, и к ней должен быть предоставлен публичный доступ.",Требования к результатам работы Новая версия Кабинета должна быть развёрнута на тестовом сервере и к ней должен быть предоставлен публичный доступ. Должен осуществляться строгий контроль за качеством кода. При разработке должны использоваться современные технологии. , пропушена запятая между частями сложносочинённого предложения,https://www.hse.ru/edu/vkr/922075150,1.0,пунктуационная,бакалавриат
"Новая версия Кабинета должна быть развёрнута на тестовом сервере, и к ней должен быть предоставлен публичный доступ. Должен осуществляться строгий контроль за качеством кода. При разработке должны использоваться современные технологии. ",Обновлённая версия Кабинета должна быть развернута на тестовом сервере с предоставлением публичного доступа. Необходимо обеспечить контроль за качеством кода и использовать современные технологии в разработке. ,"Требования к результатам работы Новая версия Кабинета должна быть развёрнута на тестовом сервере и к ней должен быть предоставлен публичный доступ. Должен осуществляться строгий контроль за качеством кода. При разработке должны использоваться современные технологии. Для всех модулей проекта должны быть созданы Dockerобразы и настроена процедура автоматической сборки, тестирования и развёртывания.",тавтология,https://www.hse.ru/edu/vkr/922075150,1.0,речевая,бакалавриат
"Кабинет  доказал  свою  эффективность  и  необходимость  для  проектной модеди обучения. Однако за 4 года использования морально устарели как дизайн Кабинета, так и его кодовая база.","Несмотря на эффективность Кабинета, его дизайн и кодовая база устарели за 4 года использования.","В МИЭМ НИУ ВШЭ с 2018 года реализуется проектная модель обучения.  Для  упрощения  работы  проектного  офиса,  преподавателей  и  студентов
была создана система Личный Кабинет МИЭМ НИУ ВШЭ. Кабинет  доказал  свою  эффективность  и  необходимость  для  проектной модеди обучения. Однако за 4 года использования морально устарели как дизайн Кабинета, так и его кодовая база. Текущий интерфейс не соответствует современным паттернам дизайна, его неудобно использовать. Устаревшая кодовая база не позволяет за приемлемое время добавлять новый функционал и исправлять ошибки.","использование союза ""однако""",https://www.hse.ru/edu/vkr/922075150,1.0,стилистическая,бакалавриат
Устаревшая кодовая база не позволяет за приемлемое время добавлять новый функционал и исправлять ошибки.,Устаревшая кодовая база не позволяет своевременно добавлять новый функционал и исправлять ошибки.,"Кабинет  доказал  свою  эффективность  и  необходимость  для  проектной модеди обучения. Однако за 4 года использования морально устарели как дизайн Кабинета, так и его кодовая база. Текущий интерфейс не соответствует современным паттернам дизайна, его неудобно использовать. Устаревшая кодовая база не позволяет за приемлемое время добавлять новый функционал и исправлять ошибки. Целью данного проекта является написание с нуля новой версии Кабинета, с проработанным техническим заданием, полностью согласованным с проектным офисом, и созданным на основе обратной связи от пользователей старой версии Кабинета.","неопределённое понятие ""приемлемое время""",https://www.hse.ru/edu/vkr/922075150,1.0,стилистическая,бакалавриат
"Целью данного проекта является написание с нуля новой версии Кабинета, с проработанным техническим заданием, полностью согласованным с проектным офисом, и созданным на основе обратной связи от пользователей старой версии Кабинета","Целью проекта является создание новой версии Кабинета с проработанным техническим заданием, полностью согласованным с проектным офисом и созданным на основе отзывов пользователей старой версии Кабинета.","Текущий интерфейс не соответствует современным паттернам дизайна, его неудобно использовать. Устаревшая кодовая база не позволяет за приемлемое время добавлять новый функционал и
исправлять ошибки. Целью данного проекта является написание с нуля новой версии Кабинета, с проработанным техническим заданием, полностью согласованным с проектным офисом, и созданным на основе обратной связи от пользователей старой версии Кабинета. Новая версия будет обладать новым удобным интерфейсом, чистой кодовой базой, улучшенной производительностью. Качество кода
в течение всей жизни проекта (в том числе при продлении в следующие года)
будет гарантироваться настроенными линтерами и статическими анализаторами.","использование слова ""данный"" в значении ""этот"" применительно к проекту, использование выражения ""с нуля""",https://www.hse.ru/edu/vkr/922075150,1.0,стилистическая,бакалавриат
При поиске эффективного метода обучения рассматриваются самые разные способы получения знаний людьми.,При поиске эффективного метода обучения рассматриваются различные способы получения знаний людьми.,"При поиске эффективного метода обучения рассматриваются самые разные способы получения знаний людьми. Наряду с этим относительно новый
подход в образовании набирает популярность во всём мире: Проектная модель обучения.","избыточность, неверный выбор паронима из пары ""разный-различный""",https://www.hse.ru/edu/vkr/922075150,1.0,лексическая,бакалавриат
Наряду с этим относительно новый подход в образовании набирает популярность во всём мире: Проектная модель обучения.,Наряду с этим  в образовании во всём мире набирает популярность относительно новый подход - Проектная модель обучения.,"При поиске эффективного метода обучения рассматриваются самые разные способы получения знаний людьми. Наряду с этим относительно новый подход в образовании набирает популярность во всём мире: Проектная модель обучения. Проектная модель обучения ­ это педагогический подход, в рамках которого, ученики работают в группах, исследуют выбранный ими вопрос, используют различные ресурсы, совместно разрабатывают решения и выполняют
практические задания.", неыерный порядок слов в предложении,https://www.hse.ru/edu/vkr/922075150,1.0,грамматическая,бакалавриат
"Проектная модель обучения ­-  это педагогический подход, в рамках которого, ученики работают в группах, исследуют выбранный ими вопрос, используют различные ресурсы, совместно разрабатывают решения и выполняют практические задания.","Проектная модель обучения ­ - это педагогический подход, в рамках которого ученики работают в группах, исследуют выбранный ими вопрос, используют различные ресурсы, совместно разрабатывают проектный продукт и выполняют практические задания. ","При поиске эффективного метода обучения рассматриваются самые разные способы получения знаний людьми. Наряду с этим относительно новый подход в образовании набирает популярность во всём мире: Проектная модель обучения. Проектная модель обучения ­ это педагогический подход, в рамках которого, ученики работают в группах, исследуют выбранный ими вопрос, используют различные ресурсы, совместно разрабатывают решения и выполняют
практические задания.","""разрабатывать решения""",https://www.hse.ru/edu/vkr/922075150,1.0,стилистическая,бакалавриат
Для поддержки Проектной модели обучения возникает потребность сервисов с системой управления проектной деятельностью.,При использовании Проектной модели обучения возникает потребность в сервисах с системой управления проектной деятельностью.,"Проектная модель обучения ­ это педагогический подход, в рамках
которого, ученики работают в группах, исследуют выбранный ими вопрос, используют различные ресурсы, совместно разрабатывают решения и выполняют
практические задания.
Для поддержки Проектной модели обучения возникает потребность сервисов с системой управления проектной деятельностью. В МИЭМ НИУ ВШЭ
также  потребовалась  внутренняя  система  управления  проектной  деятельностью,  которая  имела  бы  конкретные  разделы,  специфицированные  для  работы со студентами: для выбора наиболее подходящего проекта для конкретного студента с  учетом его индивидуальных предпочтений, а также для  оценивания результатов работы студентов в учебно­проектной деятельности. "," ""для поддержки возникает потребность"", слово ""потребность"" используется с предлогом ""в"" при указании предмета нужды",https://www.hse.ru/edu/vkr/922075150,1.0,лексическая,бакалавриат
"Для этого будет разработан веб-сервис позволяющий суперпользователю, добавлять в базу данных новые достопримечательности.","Для этого будет разработан веб-сервис, позволяющий суперпользователю добавлять в базу данных новые достопримечательности.","и. Познавательный туризм – один из самых популярных видов отдыха в России, но эта отрасль не получает достаточного финансирования, спрос превышает предложение, создаваемое туристическими фирмами, а самые популярные картографические сервисы не представляют все необходимые функции для самостоятельного планирования маршрутов. Целью выпускной работы является предоставление пользователям требуемых функций. Для этого будет разработан веб-сервис позволяющий суперпользователю, добавлять в базу данных новые достопримечательности, при необходимости редактируя автоматически сгенерированные к ним описания, адреса и координаты, запускать тегирование и обновление карты со всеми достопримечательностями. Обычным пользователям он позволит создавать,
редактировать и удалять свои маршруты, для их составления будет реализован поиск по названию и отображение списка достопримечательностей по тегу. ","пропущена запятая перед причастным оборотом после определяемого слова, лишняя запятая между второстепенными членами предложения",https://www.hse.ru/edu/vkr/923851922,1.0,пунктуационная,бакалавриат
"В постиндустриальном обществе, к которому мы стремимся, где сфера услуг занимает большую часть рынка, важность этой отрасли только растёт.","В постиндустриальном обществе, где сфера услуг занимает большую часть рынка, важность этой отрасли только растёт.","В наше время туристическая отрасль в России имеет большое влияни на экономику в целом. Она является стимулом к развитию множества других отраслей, является одним из инструментов привлечения внимания к территории внутренних и внешних потребителей. В постиндустриальном обществе, к которому мы стремимся, где сфера услуг занимает большую часть рынка, важность этой отрасли только растёт.
Согласно статистике из [1], культурно-познавательный отдых в России
не выходил из топа самых популярных типов туризма, более того в 2023 он
вошел в топ 3 по популярности, данные приведены в Таблице 1","использование личного местоимения ""мы""",https://www.hse.ru/edu/vkr/923851922,1.0,стилистическая,бакалавриат
"Целью выпускной квалификационной работы является предоставление пользователям сервиса, что поможет в планировании пеших туристических маршрутов.","Целью выпускной квалификационной работы является предоставление пользователям сервиса, который поможет в планировании пеших туристических маршрутов.","Целью выпускной квалификационной работы является предоставление пользователям сервиса, что поможет в планировании пеших туристических
маршрутов. Помимо размещения на сайте информационных статей сервис обеспечивает ряд ключевых функций:
Добавление в базу данных новых достопримечательностей, автоматическая генерация описаний, адресов, координат и тегов
к ним, при необходимости эти данные могут редактироваться вручную. (доступно только суперпользователю) Просмотр списка достопримечательностей в галерее и описаний к ним.","нехарактерное для научных и официвльно-деловых стилей использование союза ""что"" в значении ""который""",https://www.hse.ru/edu/vkr/923851922,1.0,стилистическая,бакалавриат
"Отрасль внутреннего культурно - познавательного туризма, не смотря на перспективность и востребованность такого вида отдыха, имеет ряд существенных проблем.","Отрасль внутреннего культурно - познавательного туризма, несмотря на перспективность и востребованность такого вида отдыха, имеет ряд существенных проблем.","Отрасль внутреннего культурно - познавательного туризма, не смотря на перспективность и востребованность такого вида отдыха, имеет ряд
существенных проблем. Эта отрасль из-за отсутствия финансирования очень медленно развивается и имеет множество проблем, таких как низкое
среднее качество услуг и завышенные цены.","в этом предложении ""несмотря на"" является производным предлогом и пишется слитно",https://www.hse.ru/edu/vkr/923851922,1.0,грамматическая,бакалавриат
Высокая нагрузка на транспортные системы влечет за собой большие временные потери граждан и загрязнение окружающей.,Высокая нагрузка на транспортные системы влечет за собой временные потери граждан и загрязнение окружающей среды.,"В настоящее время транспортные средства являются ключевым элементом городской жизни каждого гражданина. В эпоху глобальной урбанизации население городов резко увеличивается, из-за чего транспортные системы испытывают большую нагрузку. Высокая нагрузка на транспортные системы влечет за собой большие временные потери граждан и загрязнение окружающей. Для снижения
загруженности транспортных систем необходимо пересматривать традиционные методики управления транспортными потоками. Для человечества очень актуальны проблемы безопасности дорожного движения, так как ежегодно в результате автомобильных аварий погибает около 1,19 миллионов человек и до 50 миллионов человек ежегодно получают травмы. ",пропущено слово,https://www.hse.ru/edu/vkr/923852695,1.0,логическая,бакалавриат
"В ходе выполнения работы были рассмотрены принципы построения помехоустойчивых систем, алгоритмы создания, кодирования и декодирования SPARC и LDPC, а также каскадных кодов на их основе. ","В ходе выполнения работы были рассмотрены принципы построения помехоустойчивых систем и каскадных кодов на их основе, алгоритмы создания, кодирования и декодирования SPARC и LDPC. ","В данной выпускной квалификационной работе изучается система каскадного кодирования, в основе которой лежит разряженный регрессионный код. В ходе выполнения работы были рассмотрены принципы построения помехоустойчивых систем, алгоритмы создания, кодирования и декодирования SPARC и LDPC, а также каскадных кодов на их основе. Алгоритмы были реализованы на различных языках программирования: Matlab Python3, и C++, реализующие SPARC и каскад на его основе. ",неверное построение предложения с однородными членами,https://www.hse.ru/edu/vkr/924181224,1.0,грамматическая,бакалавриат
"Алгоритмы были реализованы на различных языках программирования: Matlab Python3, и C++, реализующие SPARC и каскад на его основе.","Алгоритмы, реализующие SPARC и каскад на его основе, были реализованы на различных языках программирования: Matlab, Python3 и C++.","В данной выпускной квалификационной работе изучается система каскадного кодирования, в основе которой лежит разряженный регрессионный код. В ходе выполнения работы были рассмотрены принципы построения помехоустойчивых систем, алгоритмы создания, кодирования и декодирования SPARC и LDPC, а также каскадных кодов на их основе. Алгоритмы были реализованы на различных языках программирования: Matlab Python3, и C++, реализующие SPARC и каскад на его основе. Полученные модели кодов были подвергнуты тестам и анализу. Сделан вывод о целесообразности использования подобных кодовых систем.",неверное построение предложения с причестным оборотом,https://www.hse.ru/edu/vkr/924181224,1.0,грамматическая,бакалавриат
"Эти помехи вносят изменения в исходный сигнал, что на этапе приема и декодирования сообщения, может привести к ошибкам. ","Эти помехи вносят изменения в исходный сигнал, что на этапе приема и декодирования сообщения может привести к ошибкам. ","Эти методы решают проблему помех, которые могут возникать из-за различных физических процессов в каналах связи. Помехи – это изменения в передаваемом сигнале, вызванные такими факторами, как электромагнитные волны от других устройств, неподходящие кабели, несовместимые протоколы связи, перегрузка каналов, искажения при передаче через различные носители и другими факторами. Эти помехи вносят изменения в исходный сигнал, что на этапе приема и декодирования сообщения, может привести к ошибкам. Используя помехоустойчивое кодирование, эти проблемы можно свести к минимуму, обеспечивая целостность и точность передаваемых данных. Этот метод помогает обеспечить правильное получение и обработку информации даже в условиях помех. ",лишняя запятая между второстепенными членами предложения,https://www.hse.ru/edu/vkr/924181224,1.0,пунктуационная,бакалавриат
Это достигается за счет добавления избыточных битов при через канал связи.,Это достигается за счет добавления избыточных битов при передаче через канал связи.,"Этот метод помогает обеспечить правильное получение и обработку информации даже в условиях помех. Алгебраические коды выступают в качестве основного способа организации помехоустойчивой передачи данных. Это достигается за счет добавления избыточных битов при через канал связи. С точки зрения кодового слова, полезная информация занимает K битов, после кодирования длина слова увеличивается до длины N символов, где N строго больше, чем K. ",пропущено слово,https://www.hse.ru/edu/vkr/924181224,1.0,логическая,бакалавриат
